id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,pendidikan,jumlah_pengangguran,satuan,tahun
218,32,JAWA BARAT,3201,KABUPATEN BOGOR,SD,61777,ORANG,2013
219,32,JAWA BARAT,3201,KABUPATEN BOGOR,SMP,42551,ORANG,2013
220,32,JAWA BARAT,3201,KABUPATEN BOGOR,SMA,51264,ORANG,2013
221,32,JAWA BARAT,3201,KABUPATEN BOGOR,DIPLOMA I/II/III/AKADEMI/UNIVERSITAS,2408,ORANG,2013
222,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,TIDAK/BELUM PERNAH SEKOLAH/TIDAK/BELUM TAMAT SD,13395,ORANG,2013
223,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,SD,39742,ORANG,2013
224,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,SMP,36470,ORANG,2013
225,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,SMA,15471,ORANG,2013
226,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,DIPLOMA I/II/III/AKADEMI/UNIVERSITAS,4338,ORANG,2013
227,32,JAWA BARAT,3203,KABUPATEN CIANJUR,TIDAK/BELUM PERNAH SEKOLAH/TIDAK/BELUM TAMAT SD,10577,ORANG,2013
228,32,JAWA BARAT,3203,KABUPATEN CIANJUR,SD,57541,ORANG,2013
229,32,JAWA BARAT,3203,KABUPATEN CIANJUR,SMP,41115,ORANG,2013
230,32,JAWA BARAT,3203,KABUPATEN CIANJUR,SMA,33684,ORANG,2013
231,32,JAWA BARAT,3203,KABUPATEN CIANJUR,DIPLOMA I/II/III/AKADEMI/UNIVERSITAS,2615,ORANG,2013
232,32,JAWA BARAT,3204,KABUPATEN BANDUNG,TIDAK/BELUM PERNAH SEKOLAH/TIDAK/BELUM TAMAT SD,11316,ORANG,2013
233,32,JAWA BARAT,3204,KABUPATEN BANDUNG,SD,27216,ORANG,2013
234,32,JAWA BARAT,3204,KABUPATEN BANDUNG,SMP,59213,ORANG,2013
235,32,JAWA BARAT,3204,KABUPATEN BANDUNG,SMA,58771,ORANG,2013
236,32,JAWA BARAT,3204,KABUPATEN BANDUNG,DIPLOMA I/II/III/AKADEMI/UNIVERSITAS,1978,ORANG,2013
237,32,JAWA BARAT,3205,KABUPATEN GARUT,TIDAK/BELUM PERNAH SEKOLAH/TIDAK/BELUM TAMAT SD,7678,ORANG,2013
238,32,JAWA BARAT,3205,KABUPATEN GARUT,SD,17276,ORANG,2013
239,32,JAWA BARAT,3205,KABUPATEN GARUT,SMP,26994,ORANG,2013
240,32,JAWA BARAT,3205,KABUPATEN GARUT,SMA,28498,ORANG,2013
241,32,JAWA BARAT,3205,KABUPATEN GARUT,DIPLOMA I/II/III/AKADEMI/UNIVERSITAS,1276,ORANG,2013
242,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,TIDAK/BELUM PERNAH SEKOLAH/TIDAK/BELUM TAMAT SD,4179,ORANG,2013
243,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,SD,16916,ORANG,2013
244,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,SMP,20485,ORANG,2013
245,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,SMA,11582,ORANG,2013
246,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,DIPLOMA I/II/III/AKADEMI/UNIVERSITAS,658,ORANG,2013
